ID_kredytu	kwota
G10987	200
G10987	200
G10987	200
G10987	200
G10987	200
G10987	200
G10987	200
G10988	200
G10988	200
G10988	200
G10988	200
G10988	200
G10989	400
G10989	400
G10989	400
G10989	400
G10989	400
G10989	400
G10990	300
G10992	100
G10992	100
G10992	100
G10992	100
G10992	100
G10994	500
G23456	4000
G23456	4000
G23456	4000
G23456	4000
G23456	4000
G23456	6000
G23456	6000
G23456	8000
G23456	10000
G23458	400
G23459	200
G23459	200
G23459	200
G23459	200
G23459	200
G23460	300
G23460	300
G23460	300
G23460	300
G23461	500
G23462	500
G23463	1000
G54329	400
G54329	400
G54329	400
G54329	400
G54329	400
G54329	400
G65432	500
G65432	500
G65432	500
G65433	300
G65433	300
G65433	300
G65433	300
G65433	300
G65433	300
G65433	300
G65433	300
G65434	400
G65434	400
G65434	400
G65434	400
G65434	400
G65434	400
G65436	500
G65437	400
G65438	100
G65439	600
G65439	600
G65439	600
G65439	600
G65439	1000
G65439	1000
G65439	1000
G65439	1000
G65439	1000
G65440	500
G65440	500
G65440	500
G65440	500
G65440	500
G65440	500
G65440	500
G65440	500
G67890	200
G67890	200
G67890	200
G67890	200
G67890	200
G78901	3000
G78901	3000
G78901	3000
G78901	3000
G78901	3000
G78901	3000
G78901	3000
G78901	3000
G78902	200
G78902	200
G78902	200
G78902	200
G78902	200
G78902	200
G89013	300
G89013	300
G89013	300
G89013	300
G89013	300
G89014	200
G89015	700
G89015	700
G89016	3000
G89017	500
H09876	2000
H09876	2000
H09876	2000
H09876	2000
H09876	2000
H09876	2000
H09876	2000
H09878	500
H09878	500
H09878	500
H09878	500
H09878	500
H09878	500
H09878	500
H09879	500
H09879	500
H09880	3000
H09881	300
H09882	2500
H09882	2500
H09882	2500
H09882	2500
H09882	2500
H09882	2500
H09882	2500
H09882	2500
H09883	1500
H09883	1500
H09883	1500
H09883	1500
H09883	1500
H09883	1500
H09883	1500
H23457	400
H23457	400
H23457	400
H23457	400
H23457	400
H23457	400
H23458	200
H23459	800
H23459	800
H23460	500
H23461	700
H23461	700
H23461	700
H23461	700
H23461	700
H23462	400
H23462	400
H54322	2000
H54322	2000
H54322	2000
H54322	2000
H54322	2000
H54322	2000
H54322	2000
H54322	2000
H54323	500
H54323	500
H54323	500
H54323	500
H54324	500
H54324	500
H54324	500
H54324	500
H54324	500
H54324	500
H54324	500
H54325	500
H54326	500
H54327	500
H54330	2500
H54330	2500
H54330	2500
H54330	2500
H54330	2500
H54330	2500
H54330	2500
H67891	500
H67892	700
H67893	3700
H67893	3700
H67893	3700
H67893	3700
H67893	3700
H67893	3700
H67894	2000
H67894	2000
H67895	3000
H67896	200
H89012	1000
H89012	1000
H89012	1000
H89012	1000
H89012	1000
H89012	1000
H89012	1000
H89012	1000
K01235	200
K01236	500
K01236	500
K01237	200
K01238	2000
K01239	100
K32109	2000
K32109	2000
K32109	2000
